ms_1,ms_2,time_ns,is_same
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__sri,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__0259885c16fbcbc48a3f6e5009e1f39b5a177339b3b471a4f9a26c11845fe93ad0__inferlink,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__0259885c16fbcbc48a3f6e5009e1f39b5a177339b3b471a4f9a26c11845fe93ad0__sri,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__022a2b019ce74cb680ce4c8effb322017e639ce3d76f9872c65aabc268b5f386ac__inferlink,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__022a2b019ce74cb680ce4c8effb322017e639ce3d76f9872c65aabc268b5f386ac__sri,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__021a6811f56f18c837dc56032a54790d30b4ab78ec82791b1cf7be381bc59148bc__inferlink,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__021a6811f56f18c837dc56032a54790d30b4ab78ec82791b1cf7be381bc59148bc__sri,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__020a2900f4096cbd164646a08e85738bba467ee03e6b1df6b026f33ca668f21404__inferlink,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__020a2900f4096cbd164646a08e85738bba467ee03e6b1df6b026f33ca668f21404__sri,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__0208a829900218c45b82945548fc532fed1b5884388e8c461170c48939c6f4526b__inferlink,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__0208a829900218c45b82945548fc532fed1b5884388e8c461170c48939c6f4526b__sri,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__0206bec189ad5f0ab7a8d89ca04e652145091a6347dd0fcb53db2f05b6e4df0de7__inferlink,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__0206bec189ad5f0ab7a8d89ca04e652145091a6347dd0fcb53db2f05b6e4df0de7__sri,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__0206952728d657ab0cdc11619095a4787825e4fee345e84953d21a8beeef9d8a79__inferlink,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__028711b14291d13b8076064df7eb658a9b115c439716edc87453c280007c019815__inferlink,site__api-cdr-land-v1-docs-documents__0206952728d657ab0cdc11619095a4787825e4fee345e84953d21a8beeef9d8a79__sri,1749205138826078000,1
site__api-cdr-land-v1-docs-documents__024529b6f9d00b42f96357ac0ccd67017366798bc831315b9e7e592af5e04c0ed3__inferlink,site__api-cdr-land-v1-docs-documents__024529b6f9d00b42f96357ac0ccd67017366798bc831315b9e7e592af5e04c0ed3__sri,1749205206002661000,1
site__api-cdr-land-v1-docs-documents__024529b6f9d00b42f96357ac0ccd67017366798bc831315b9e7e592af5e04c0ed3__inferlink,site__api-cdr-land-v1-docs-documents__0273860976e05483e67d0391536e2f81c415ac9370e54bb04cac566ceecf9ba2dd__inferlink,1749205206002661000,1
site__api-cdr-land-v1-docs-documents__024529b6f9d00b42f96357ac0ccd67017366798bc831315b9e7e592af5e04c0ed3__inferlink,site__api-cdr-land-v1-docs-documents__0273860976e05483e67d0391536e2f81c415ac9370e54bb04cac566ceecf9ba2dd__sri,1749205206002661000,1
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__sri,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__inferlink,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__sri,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__inferlink,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__sri,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__inferlink,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__sri,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__inferlink,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__sri,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__mrdata-usgs-gov-mrds__10142987__umn,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__mrdata-usgs-gov-mrds__10142987__sri,1749205291348616000,1
site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__inferlink,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__inferlink,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__sri,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__sri,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__sri,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__sri,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__inferlink,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__inferlink,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__sri,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__sri,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__inferlink,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__inferlink,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__sri,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__sri,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__inferlink,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__inferlink,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__sri,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__sri,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__mrdata-usgs-gov-mrds__10142987__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,site__mrdata-usgs-gov-mrds__10142987__umn,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__02e3b80df0c70a0322552ebc33261c24e768a348accb0323cd1932b91b9e3d2f8c__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__02f4e9db0f0acd0080b54fbe7b1a065af6f527a34b7d864791a3d055407eb414cf__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__0265105a94cebbcddb217d9fc0b57d893909f2ee69e9b2ae87ffcedd18b5ee88a2__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__0282b946e493ba753f42d7d95ce326c831a2766b552910dd33d4486aaddb69ecea__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__inferlink,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__api-cdr-land-v1-docs-documents__02d9b24e989c69826b6887ac3bb6c183eb09fff59d73dfd769f8e5042e3afa59fe__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__mrdata-usgs-gov-mrds__10142987__sri,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__usc,site__mrdata-usgs-gov-mrds__10142987__umn,1749205291348616000,0
site__mrdata-usgs-gov-mrds__10142987__sri,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__mrdata-usgs-gov-mrds__10142987__sri,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__mrdata-usgs-gov-mrds__10142987__umn,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205291348616000,0
site__mrdata-usgs-gov-mrds__10142987__umn,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205291348616000,0
site__doi-org-10-5382-econgeo-4950__wellgreen__bvu,site__doi-org-10-5382-econgeo-2018-4590__wellgreen-693__usc,1749205329035874000,1
site__doi-org-10-5382-econgeo-4950__wellgreen__bvu,site__doi-org-10-5382-econgeo-4950__wellgreen__usc,1749205329035874000,1
